,revenue
649,192452832
198,12372410
2482,56681566
459,25405445
877,38502340
1482,62022014
2002,59217789
2863,8434146
1762,119500000
603,53478166
1118,107879496
274,250821495
868,108539911
1703,3867000
1029,157387195
2447,231411584
2660,30471420
2441,14418922
2547,585349010
1345,149295601
2557,7011317
780,3305592
1536,16002420
1980,4417580
1656,62000000
2480,18800000
2712,18564088
96,3358
949,8475466
1649,2697930
2912,2616503
2014,392000694
1293,151161491
468,318982
272,46044400
433,147845033
933,174822325
1582,12000000
986,19738015
1505,16374328
1050,29762011
1183,8303261
1297,1238080
542,40002112
2233,55583804
916,28451622
180,31148328
869,28000000
2607,25900
2318,33208099
311,12250
453,12534961
825,15992615
1938,20211394
1417,176997168
1019,6272403
2520,90614445
1913,1548955
1157,7339398
618,27092880
526,17425000
54,46069568
398,75505856
515,21133087
766,24719215
1321,128905366
822,170128460
2733,48093211
2272,1007962
881,1025491110
677,777423
679,8750000
522,28883511
1386,9450897
2230,9132000
2664,55707411
2849,16810383
372,91753202
2226,8000000
421,40996665
2172,133000000
2489,40120144
709,10400000
552,141591324
2478,68729358
2101,1332231
1680,900000
1733,34100000
2401,37000000
1798,34725000
288,23510601
489,609524
1040,5446000
1836,73174566
1730,1440000
85,152022101
2857,6500000
1927,62000000
1375,41627431
585,310000000
791,222300000
804,135680000
